"IBC.code","Start.Date","End.Date","Reported.Minimum","Reported.Maximum","Province"
"k18488","20 Feb 2012","20 Feb 2012",1,1,"Nineveh"
"k18489","20 Feb 2012","20 Feb 2012",1,1,"Anbar"
"k18482","19 Feb 2012","19 Feb 2012",2,2,"Baghdad"
"k18483","19 Feb 2012","19 Feb 2012",3,3,"Diyala"
"k18484","19 Feb 2012","19 Feb 2012",4,4,"Diyala"
"k18485","19 Feb 2012","19 Feb 2012",15,19,"Baghdad"
"k18486","19 Feb 2012","19 Feb 2012",1,1,"Diyala"
"k18480","17 Feb 2012","18 Feb 2012",1,1,"Baghdad"
"k18481","18 Feb 2012","18 Feb 2012",1,1,"Salah ad Din"
"k18474","17 Feb 2012","17 Feb 2012",2,2,"Baghdad"
"k18475","17 Feb 2012","17 Feb 2012",1,1,"Kirkuk"
"k18476","17 Feb 2012","17 Feb 2012",1,1,"Nineveh"
"k18477","17 Feb 2012","17 Feb 2012",1,1,"Diyala"
"k18478","17 Feb 2012","17 Feb 2012",2,2,NA
"k18479","10 Feb 2012","17 Feb 2012",1,1,"Kirkuk"
"k18471","16 Feb 2012","16 Feb 2012",3,3,"Nineveh"
"k18472","16 Feb 2012","16 Feb 2012",1,1,"Diyala"
"k18464","15 Feb 2012","15 Feb 2012",3,3,"Nineveh"
"k18465","15 Feb 2012","15 Feb 2012",1,1,"Anbar"
"k18466","15 Feb 2012","15 Feb 2012",2,2,"Baghdad"
"k18467","15 Feb 2012","15 Feb 2012",1,1,"Nineveh"
"k18468","15 Feb 2012","15 Feb 2012",1,1,"Nineveh"
"k18469","15 Feb 2012","15 Feb 2012",1,1,"Anbar"
"k18470","15 Feb 2012","15 Feb 2012",3,3,"Babil"
"k18461","14 Feb 2012","14 Feb 2012",1,1,"Baghdad"
"k18462","14 Feb 2012","14 Feb 2012",3,3,"Nineveh"
"k18463","14 Feb 2012","14 Feb 2012",1,1,"Nineveh"
"k18457","13 Feb 2012","13 Feb 2012",1,1,"Nineveh"
"k18458","13 Feb 2012","13 Feb 2012",3,3,"Anbar"
"k18460","13 Feb 2012","13 Feb 2012",1,1,"Diyala"
"k18453","12 Feb 2012","12 Feb 2012",2,2,"Anbar"
"k18454","12 Feb 2012","12 Feb 2012",1,1,"Wasit"
"k18455","12 Feb 2012","12 Feb 2012",2,2,"Salah ad Din"
"k18456","12 Feb 2012","12 Feb 2012",1,1,NA
"k18444","10 Feb 2012","11 Feb 2012",1,1,"Diyala"
"k18448","11 Feb 2012","11 Feb 2012",1,1,"Kirkuk"
"k18447","11 Feb 2012","11 Feb 2012",1,2,"Anbar"
"k18446","11 Feb 2012","11 Feb 2012",0,2,"Basra"
"k18451","11 Feb 2012","11 Feb 2012",1,1,"Baghdad"
"k18452","11 Feb 2012","11 Feb 2012",4,4,"Anbar"
"k18445","10 Feb 2012","10 Feb 2012",1,1,"Anbar"
"k18439","9 Feb 2012","9 Feb 2012",1,1,"Kirkuk"
"k18440","9 Feb 2012","9 Feb 2012",1,1,"Nineveh"
"k18441","9 Feb 2012","9 Feb 2012",1,1,"Qadisiyyah"
"k18442","9 Feb 2012","9 Feb 2012",0,1,"Sulaymaniyah"
"k18443","4 Feb 2012","9 Feb 2012",1,1,"Salah ad Din"
"k18449","9 Feb 2012","9 Feb 2012",0,1,"Sulaymaniyah"
"k18450","4 Feb 2012","9 Feb 2012",1,1,"Salah ad Din"
"k18436","8 Feb 2012","8 Feb 2012",1,1,"Kirkuk"
"k18438","8 Feb 2012","8 Feb 2012",0,1,"Diyala"
"k18437","8 Feb 2012","8 Feb 2012",1,1,"Diyala"
"k18433","7 Feb 2012","7 Feb 2012",1,1,"Baghdad"
"k18434","7 Feb 2012","7 Feb 2012",1,1,"Baghdad"
"k18435","7 Feb 2012","7 Feb 2012",1,1,"Baghdad"
"k18430","6 Feb 2012","6 Feb 2012",1,1,"Diyala"
"k18431","6 Feb 2012","6 Feb 2012",2,2,"Nineveh"
"k18432","6 Feb 2012","6 Feb 2012",1,1,"Babil"
"k18429","5 Feb 2012","5 Feb 2012",1,1,"Baghdad"
"k18425","4 Feb 2012","4 Feb 2012",1,1,"Anbar"
"k18426","4 Feb 2012","4 Feb 2012",2,2,"Nineveh"
"k18427","4 Feb 2012","4 Feb 2012",1,1,"Diyala"
"k18428","4 Feb 2012","4 Feb 2012",1,1,"Diyala"
"k18423","3 Feb 2012","3 Feb 2012",1,1,"Nineveh"
"k18424","3 Feb 2012","3 Feb 2012",1,1,"Nineveh"
"k18417","2 Feb 2012","2 Feb 2012",1,1,"Kirkuk"
"k18418","2 Feb 2012","2 Feb 2012",3,3,"Nineveh"
"k18419","2 Feb 2012","2 Feb 2012",2,2,"Baghdad"
"k18420","2 Feb 2012","2 Feb 2012",1,1,"Nineveh"
"k18421","2 Feb 2012","2 Feb 2012",1,1,"Arbil"
"k18422","2 Feb 2012","2 Feb 2012",12,12,"Baghdad"
"k18416","1 Feb 2012","1 Feb 2012",1,1,"Diyala"
"k18409","31 Jan 2012","31 Jan 2012",1,1,"Nineveh"
"k18410","31 Jan 2012","31 Jan 2012",1,1,"Nineveh"
"k18411","31 Jan 2012","31 Jan 2012",2,2,"Nineveh"
"k18412","31 Jan 2012","31 Jan 2012",1,1,"Babil"
"k18413","31 Jan 2012","31 Jan 2012",1,1,"Anbar"
"k18414","31 Jan 2012","31 Jan 2012",1,1,"Diyala"
"k18415","31 Jan 2012","31 Jan 2012",1,1,"Diyala"
"k18402","30 Jan 2012","30 Jan 2012",1,1,"Nineveh"
"k18403","30 Jan 2012","30 Jan 2012",1,1,"Nineveh"
"k18404","30 Jan 2012","30 Jan 2012",2,2,"Diyala"
"k18405","30 Jan 2012","30 Jan 2012",1,1,"Diyala"
"k18406","30 Jan 2012","30 Jan 2012",2,2,"Nineveh"
"k18407","30 Jan 2012","30 Jan 2012",1,2,"Basra"
"k18408","30 Jan 2012","30 Jan 2012",1,1,"Baghdad"
"k18398","29 Jan 2012","29 Jan 2012",1,1,"Baghdad"
"k18399","29 Jan 2012","29 Jan 2012",1,1,"Diyala"
"k18400","28 Jan 2012","29 Jan 2012",2,2,"Salah ad Din"
"k18401","29 Jan 2012","29 Jan 2012",1,1,"Diyala"
"k18394","28 Jan 2012","28 Jan 2012",2,2,"Anbar"
"k18395","28 Jan 2012","28 Jan 2012",1,1,"Babil"
"k18396","28 Jan 2012","28 Jan 2012",1,1,"Salah ad Din"
"k18397","28 Jan 2012","28 Jan 2012",1,1,"Salah ad Din"
"k18387","27 Jan 2012","27 Jan 2012",1,1,"Nineveh"
"k18388","27 Jan 2012","27 Jan 2012",1,1,"Nineveh"
"k18389","27 Jan 2012","27 Jan 2012",2,2,"Baghdad"
"k18391","27 Jan 2012","27 Jan 2012",1,1,"Baghdad"
"k18392","27 Jan 2012","27 Jan 2012",31,32,"Baghdad"
"k18393","27 Jan 2012","27 Jan 2012",2,2,"Nineveh"
"k18374","26 Jan 2012","26 Jan 2012",1,1,"Nineveh"
"k18375","26 Jan 2012","26 Jan 2012",1,1,"Nineveh"
"k18376","26 Jan 2012","26 Jan 2012",1,1,"Nineveh"
"k18377","26 Jan 2012","26 Jan 2012",1,1,"Nineveh"
"k18378","26 Jan 2012","26 Jan 2012",1,1,"Kirkuk"
"k18379","26 Jan 2012","26 Jan 2012",1,1,"Baghdad"
"k18380","26 Jan 2012","26 Jan 2012",1,1,"Nineveh"
"k18381","26 Jan 2012","26 Jan 2012",1,1,"Baghdad"
"k18382","26 Jan 2012","26 Jan 2012",1,3,"Baghdad"
"k18383","26 Jan 2012","26 Jan 2012",1,1,"Anbar"
"k18384","26 Jan 2012","26 Jan 2012",2,3,"Kirkuk"
"k18385","26 Jan 2012","26 Jan 2012",10,10,"Babil"
"k18386","26 Jan 2012","26 Jan 2012",3,4,"Baghdad"
"k18390","26 Jan 2012","26 Jan 2012",1,1,NA
"k18370","25 Jan 2012","25 Jan 2012",2,2,"Kirkuk"
"k18371","25 Jan 2012","25 Jan 2012",1,1,"Kirkuk"
"k18372","25 Jan 2012","25 Jan 2012",2,2,"Nineveh"
"k18357","24 Jan 2012","24 Jan 2012",1,1,"Nineveh"
"k18358","24 Jan 2012","24 Jan 2012",2,2,"Anbar"
"k18359","24 Jan 2012","24 Jan 2012",1,1,"Baghdad"
"k18360","24 Jan 2012","24 Jan 2012",1,1,"Salah ad Din"
"k18361","24 Jan 2012","24 Jan 2012",1,1,"Salah ad Din"
"k18362","24 Jan 2012","24 Jan 2012",1,1,"Diyala"
"k18363","24 Jan 2012","24 Jan 2012",1,1,"Anbar"
"k18364","24 Jan 2012","24 Jan 2012",2,5,"Baghdad"
"k18365","24 Jan 2012","24 Jan 2012",1,1,"Baghdad"
"k18366","24 Jan 2012","24 Jan 2012",1,1,"Anbar"
"k18367","24 Jan 2012","24 Jan 2012",1,1,"Nineveh"
"k18368","24 Jan 2012","24 Jan 2012",6,11,"Baghdad"
"k18369","24 Jan 2012","24 Jan 2012",3,5,"Baghdad"
"k18373","24 Jan 2012","24 Jan 2012",1,1,"Baghdad"
"k18352","23 Jan 2012","23 Jan 2012",3,3,"Nineveh"
"k18353","23 Jan 2012","23 Jan 2012",1,1,"Baghdad"
"k18354","23 Jan 2012","23 Jan 2012",1,1,"Salah ad Din"
"k18355","23 Jan 2012","23 Jan 2012",1,1,"Nineveh"
"k18356","23 Jan 2012","23 Jan 2012",1,1,"Kirkuk"
"k18348","22 Jan 2012","22 Jan 2012",1,1,"Nineveh"
"k18349","22 Jan 2012","22 Jan 2012",1,1,"Nineveh"
"k18350","22 Jan 2012","22 Jan 2012",2,3,"Diyala"
"k18351","22 Jan 2012","22 Jan 2012",1,1,"Nineveh"
"k18338","21 Jan 2012","21 Jan 2012",1,1,"Nineveh"
"k18339","21 Jan 2012","21 Jan 2012",1,1,"Anbar"
"k18341","21 Jan 2012","21 Jan 2012",1,1,"Salah ad Din"
"k18342","21 Jan 2012","21 Jan 2012",1,1,"Nineveh"
"k18343","31 Dec 2011","21 Jan 2012",1,1,"Babil"
"k18344","21 Jan 2012","21 Jan 2012",1,1,"Muthanna"
"k18345","21 Jan 2012","21 Jan 2012",1,1,"Baghdad"
"k18346","21 Jan 2012","21 Jan 2012",1,1,"Baghdad"
"k18347","21 Jan 2012","21 Jan 2012",1,1,"Nineveh"
"k18333","20 Jan 2012","20 Jan 2012",1,1,"Nineveh"
"k18334","20 Jan 2012","20 Jan 2012",2,2,"Salah ad Din"
"k18335","20 Jan 2012","20 Jan 2012",1,1,NA
"k18336","20 Jan 2012","20 Jan 2012",2,2,"Nineveh"
"k18337","20 Jan 2012","20 Jan 2012",1,1,"Nineveh"
"k18340","20 Jan 2012","20 Jan 2012",0,1,"Kirkuk"
"k18325","19 Jan 2012","19 Jan 2012",1,1,"Kirkuk"
"k18331","19 Jan 2012","19 Jan 2012",1,1,"Salah ad Din"
"k18332","19 Jan 2012","19 Jan 2012",1,1,"Nineveh"
"k18324","18 Jan 2012","18 Jan 2012",1,1,"Nineveh"
"k18326","18 Jan 2012","18 Jan 2012",2,2,"Nineveh"
"k18328","17 Jan 2012","18 Jan 2012",4,4,"Babil"
"k18329","18 Jan 2012","18 Jan 2012",1,1,"Baghdad"
"k18330","18 Jan 2012","18 Jan 2012",1,1,"Diyala"
"k18320","17 Jan 2012","17 Jan 2012",1,1,"Diyala"
"k18321","17 Jan 2012","17 Jan 2012",3,3,"Baghdad"
"k18322","17 Jan 2012","17 Jan 2012",3,3,"Nineveh"
"k18323","17 Jan 2012","17 Jan 2012",1,1,"Baghdad"
"k18327","17 Jan 2012","17 Jan 2012",1,1,"Salah ad Din"
"k18316","15 Jan 2012","16 Jan 2012",1,1,"Diyala"
"k18317","16 Jan 2012","16 Jan 2012",3,3,"Nineveh"
"k18318","16 Jan 2012","16 Jan 2012",3,4,"Babil"
"k18319","16 Jan 2012","16 Jan 2012",9,9,"Nineveh"
"k18312","15 Jan 2012","15 Jan 2012",2,2,NA
"k18314","15 Jan 2012","15 Jan 2012",1,1,"Salah ad Din"
"k18315","15 Jan 2012","15 Jan 2012",7,10,"Anbar"
"k18308","14 Jan 2012","14 Jan 2012",1,1,"Anbar"
"k18309","14 Jan 2012","14 Jan 2012",1,1,"Salah ad Din"
"k18311","14 Jan 2012","14 Jan 2012",63,64,"Basra"
"k18313","14 Jan 2012","14 Jan 2012",2,2,"Nineveh"
"k18304","13 Jan 2012","13 Jan 2012",1,1,NA
"k18305","13 Jan 2012","13 Jan 2012",2,2,"Babil"
"k18306","13 Jan 2012","13 Jan 2012",1,1,"Kirkuk"
"k18307","13 Jan 2012","13 Jan 2012",1,1,"Kirkuk"
"k18310","13 Jan 2012","13 Jan 2012",1,3,"Nineveh"
"k18300","12 Jan 2012","12 Jan 2012",1,1,"Nineveh"
"k18301","12 Jan 2012","12 Jan 2012",1,1,"Nineveh"
"k18302","12 Jan 2012","12 Jan 2012",1,1,"Babil"
"k18303","12 Jan 2012","12 Jan 2012",1,1,"Babil"
"k18297","11 Jan 2012","11 Jan 2012",3,3,"Baghdad"
"k18298","11 Jan 2012","11 Jan 2012",1,1,"Anbar"
"k18299","11 Jan 2012","11 Jan 2012",2,2,"Baghdad"
"k18290","10 Jan 2012","10 Jan 2012",3,3,"Nineveh"
"k18291","10 Jan 2012","10 Jan 2012",1,1,"Nineveh"
"k18292","10 Jan 2012","10 Jan 2012",1,1,"Kirkuk"
"k18293","10 Jan 2012","10 Jan 2012",1,1,"Nineveh"
"k18294","10 Jan 2012","10 Jan 2012",1,2,"Baghdad"
"k18295","10 Jan 2012","10 Jan 2012",3,4,"Anbar"
"k18296","10 Jan 2012","10 Jan 2012",2,2,"Salah ad Din"
"k18282","9 Jan 2012","9 Jan 2012",1,1,"Anbar"
"k18283","9 Jan 2012","9 Jan 2012",1,1,"Diyala"
"k18284","9 Jan 2012","9 Jan 2012",1,1,"Anbar"
"k18285","9 Jan 2012","9 Jan 2012",2,2,"Baghdad"
"k18286","8 Jan 2012","9 Jan 2012",1,1,"Kirkuk"
"k18287","9 Jan 2012","9 Jan 2012",8,9,"Baghdad"
"k18288","9 Jan 2012","9 Jan 2012",7,7,"Baghdad"
"k18289","9 Jan 2012","9 Jan 2012",1,2,"Baghdad"
"k18271","7 Jan 2012","8 Jan 2012",1,1,NA
"k18278","8 Jan 2012","8 Jan 2012",1,1,"Kirkuk"
"k18279","8 Jan 2012","8 Jan 2012",2,2,"Anbar"
"k18280","8 Jan 2012","8 Jan 2012",1,1,NA
"k18281","8 Jan 2012","8 Jan 2012",2,2,"Karbala"
"k18270","7 Jan 2012","7 Jan 2012",2,2,"Kirkuk"
"k18272","7 Jan 2012","7 Jan 2012",1,1,"Diyala"
"k18273","6 Jan 2012","7 Jan 2012",1,1,"Wasit"
"k18274","7 Jan 2012","7 Jan 2012",1,1,"Nineveh"
"k18275","7 Jan 2012","7 Jan 2012",1,1,"Diyala"
"k18276","7 Jan 2012","7 Jan 2012",1,2,"Baghdad"
"k18277","7 Jan 2012","7 Jan 2012",1,1,"Diyala"
"k18264","6 Jan 2012","6 Jan 2012",1,1,"Baghdad"
"k18265","6 Jan 2012","6 Jan 2012",1,1,"Diyala"
"k18266","6 Jan 2012","6 Jan 2012",1,1,"Baghdad"
"k18267","6 Jan 2012","6 Jan 2012",2,2,"Baghdad"
"k18268","6 Jan 2012","6 Jan 2012",1,1,"Nineveh"
"k18269","6 Jan 2012","6 Jan 2012",2,4,"Nineveh"
"k18257","5 Jan 2012","5 Jan 2012",1,1,"Anbar"
"k18258","5 Jan 2012","5 Jan 2012",1,1,"Babil"
"k18259","5 Jan 2012","5 Jan 2012",1,1,"Nineveh"
"k18260","5 Jan 2012","5 Jan 2012",1,1,"Nineveh"
"k18261","5 Jan 2012","5 Jan 2012",45,45,"Dhi Quar"
"k18262","5 Jan 2012","5 Jan 2012",13,13,"Baghdad"
"k18263","5 Jan 2012","5 Jan 2012",15,15,"Baghdad"
"k18252","4 Jan 2012","4 Jan 2012",1,1,"Baghdad"
"k18253","4 Jan 2012","4 Jan 2012",2,2,"Baghdad"
"k18254","4 Jan 2012","4 Jan 2012",1,1,"Diyala"
"k18255","4 Jan 2012","4 Jan 2012",1,1,"Basra"
"k18256","4 Jan 2012","4 Jan 2012",2,2,"Diyala"
"k18250","3 Jan 2012","3 Jan 2012",1,1,"Nineveh"
"k18249","3 Jan 2012","3 Jan 2012",1,1,"Baghdad"
"k18251","3 Jan 2012","3 Jan 2012",1,1,"Diyala"
"k18246","2 Jan 2012","2 Jan 2012",1,1,"Anbar"
"k18247","2 Jan 2012","2 Jan 2012",1,1,"Baghdad"
"k18248","2 Jan 2012","2 Jan 2012",1,1,"Diyala"
"k18240","1 Jan 2012","1 Jan 2012",2,2,"Nineveh"
"k18241","1 Jan 2012","1 Jan 2012",1,1,"Diyala"
"k18242","1 Jan 2012","1 Jan 2012",1,1,"Anbar"
"k18243","31 Dec 2011","1 Jan 2012",3,3,"Salah ad Din"
"k18244","1 Jan 2012","1 Jan 2012",1,1,"Baghdad"
"k18245","1 Jan 2012","1 Jan 2012",1,1,"Kirkuk"
"k18230","31 Dec 2011","31 Dec 2011",4,4,"Baghdad"
"k18232","31 Dec 2011","31 Dec 2011",3,3,"Nineveh"
"k18233","31 Dec 2011","31 Dec 2011",1,1,"Nineveh"
"k18234","31 Dec 2011","31 Dec 2011",1,1,"Nineveh"
"k18235","31 Dec 2011","31 Dec 2011",1,1,"Nineveh"
"k18236","31 Dec 2011","31 Dec 2011",1,1,"Anbar"
"k18237","31 Dec 2011","31 Dec 2011",1,1,"Baghdad"
"k18238","31 Dec 2011","31 Dec 2011",1,1,"Salah ad Din"
"k18239","31 Dec 2011","31 Dec 2011",5,6,"Diyala"
"k18231","30 Dec 2011","30 Dec 2011",4,4,"Anbar"
"k18227","29 Dec 2011","29 Dec 2011",2,2,"Nineveh"
"k18228","29 Dec 2011","29 Dec 2011",1,1,"Nineveh"
"k18229","29 Dec 2011","29 Dec 2011",1,1,"Nineveh"
"k18222","28 Dec 2011","28 Dec 2011",1,1,NA
"k18223","28 Dec 2011","28 Dec 2011",1,1,"Baghdad"
"k18224","28 Dec 2011","28 Dec 2011",3,3,"Nineveh"
"k18225","28 Dec 2011","28 Dec 2011",1,1,"Nineveh"
"k18226","28 Dec 2011","28 Dec 2011",1,1,"Nineveh"
"k18221","27 Dec 2011","27 Dec 2011",2,2,"Salah ad Din"
"k18215","26 Dec 2011","26 Dec 2011",1,1,"Nineveh"
"k18216","26 Dec 2011","26 Dec 2011",1,1,"Diyala"
"k18217","26 Dec 2011","26 Dec 2011",1,1,"Salah ad Din"
"k18218","26 Dec 2011","26 Dec 2011",1,1,"Nineveh"
"k18219","26 Dec 2011","26 Dec 2011",2,2,"Babil"
"k18220","26 Dec 2011","26 Dec 2011",6,7,"Baghdad"
"k18209","24 Dec 2011","25 Dec 2011",1,1,"Diyala"
"k18210","24 Dec 2011","25 Dec 2011",2,2,"Sulaymaniyah"
"k18211","25 Dec 2011","25 Dec 2011",2,2,"Baghdad"
"k18212","25 Dec 2011","25 Dec 2011",1,1,"Baghdad"
"k18213","25 Dec 2011","25 Dec 2011",1,1,"Anbar"
"k18214","25 Dec 2011","25 Dec 2011",1,1,"Nineveh"
"k18206","24 Dec 2011","24 Dec 2011",1,1,"Kirkuk"
"k18207","24 Dec 2011","24 Dec 2011",2,2,"Salah ad Din"
"k18208","21 Dec 2011","24 Dec 2011",2,2,"Kirkuk"
"k18204","23 Dec 2011","23 Dec 2011",3,3,"Nineveh"
"k18205","23 Dec 2011","23 Dec 2011",1,1,"Kirkuk"
"k18198","22 Dec 2011","22 Dec 2011",1,1,"Nineveh"
"k18199","22 Dec 2011","22 Dec 2011",5,5,"Diyala"
"k18200","22 Dec 2011","22 Dec 2011",2,2,"Nineveh"
"k18201","22 Dec 2011","22 Dec 2011",1,1,"Diyala"
"k18202","22 Dec 2011","22 Dec 2011",1,1,"Kirkuk"
"k18203a","22 Dec 2011","22 Dec 2011",7,7,"Baghdad"
"k18203b","22 Dec 2011","22 Dec 2011",24,25,"Baghdad"
"k18203c","22 Dec 2011","22 Dec 2011",2,4,"Baghdad"
"k18203d","22 Dec 2011","22 Dec 2011",3,3,"Baghdad"
"k18203e","22 Dec 2011","22 Dec 2011",4,16,"Baghdad"
"k18203f","22 Dec 2011","22 Dec 2011",1,1,"Baghdad"
"k18203g","22 Dec 2011","22 Dec 2011",1,1,"Baghdad"
"k18203h","22 Dec 2011","22 Dec 2011",0,3,"Baghdad"
"k18203i","22 Dec 2011","22 Dec 2011",1,1,"Baghdad"
"k18203j","22 Dec 2011","22 Dec 2011",3,3,"Baghdad"
"k18203k","22 Dec 2011","22 Dec 2011",5,5,"Baghdad"
"k18203l","22 Dec 2011","22 Dec 2011",2,2,"Baghdad"
"k18203m","22 Dec 2011","22 Dec 2011",1,1,"Baghdad"
"k18203n","22 Dec 2011","22 Dec 2011",21,3,"Baghdad"
"k18193","21 Dec 2011","21 Dec 2011",2,2,"Nineveh"
"k18194","21 Dec 2011","21 Dec 2011",1,1,"Nineveh"
"k18196","21 Dec 2011","21 Dec 2011",1,2,"Kirkuk"
"k18197","21 Dec 2011","21 Dec 2011",1,1,"Baghdad"
"k18188","20 Dec 2011","20 Dec 2011",1,1,"Anbar"
"k18189","20 Dec 2011","20 Dec 2011",1,1,"Baghdad"
"k18191","20 Dec 2011","20 Dec 2011",1,1,"Anbar"
"k18195","20 Dec 2011","20 Dec 2011",1,1,"Nineveh"
"k18182","19 Dec 2011","19 Dec 2011",1,1,"Nineveh"
"k18183","19 Dec 2011","19 Dec 2011",2,2,"Salah ad Din"
"k18184","19 Dec 2011","19 Dec 2011",1,1,"Baghdad"
"k18185","19 Dec 2011","19 Dec 2011",1,1,"Salah ad Din"
"k18186","19 Dec 2011","19 Dec 2011",1,1,"Nineveh"
"k18187","12 Dec 2011","19 Dec 2011",3,3,"Anbar"
"k18180","18 Dec 2011","18 Dec 2011",4,4,"Nineveh"
"k18181","18 Dec 2011","18 Dec 2011",2,2,"Baghdad"
"k18176","16 Dec 2011","17 Dec 2011",1,1,"Anbar"
"k18177","17 Dec 2011","17 Dec 2011",2,2,"Baghdad"
"k18178","17 Dec 2011","17 Dec 2011",3,3,"Baghdad"
"k18179","17 Dec 2011","17 Dec 2011",1,1,"Baghdad"
"k18172","16 Dec 2011","16 Dec 2011",1,1,"Kirkuk"
"k18173","16 Dec 2011","16 Dec 2011",1,1,"Baghdad"
"k18174","16 Dec 2011","16 Dec 2011",1,1,"Nineveh"
"k18175","16 Dec 2011","16 Dec 2011",1,1,"Salah ad Din"
"k18167","15 Dec 2011","15 Dec 2011",1,1,"Babil"
"k18168","15 Dec 2011","15 Dec 2011",3,3,"Nineveh"
"k18169","15 Dec 2011","15 Dec 2011",1,1,"Baghdad"
"k18170","9 Dec 2011","15 Dec 2011",3,3,"Salah ad Din"
"k18171","15 Dec 2011","15 Dec 2011",3,3,"Anbar"
"k18164","14 Dec 2011","14 Dec 2011",2,2,"Baghdad"
"k18165","14 Dec 2011","14 Dec 2011",3,4,"Nineveh"
"k18151","13 Dec 2011","13 Dec 2011",1,1,"Nineveh"
"k18152","13 Dec 2011","13 Dec 2011",1,1,"Baghdad"
"k18153","11 Dec 2011","13 Dec 2011",1,1,"Kirkuk"
"k18154","13 Dec 2011","13 Dec 2011",1,1,"Baghdad"
"k18155","13 Dec 2011","13 Dec 2011",2,2,"Salah ad Din"
"k18156","13 Dec 2011","13 Dec 2011",1,1,"Diyala"
"k18157","13 Dec 2011","13 Dec 2011",2,2,"Anbar"
"k18166","13 Dec 2011","13 Dec 2011",0,1,"Diyala"
"k18158","13 Dec 2011","13 Dec 2011",1,1,"Baghdad"
"k18159","13 Dec 2011","13 Dec 2011",3,3,"Nineveh"
"k18160","13 Dec 2011","13 Dec 2011",3,3,"Baghdad"
"k18161","13 Dec 2011","13 Dec 2011",1,2,"Nineveh"
"k18162","13 Dec 2011","13 Dec 2011",2,2,"Nineveh"
"k18163","13 Dec 2011","13 Dec 2011",3,3,"Anbar"
"k18145","12 Dec 2011","12 Dec 2011",1,1,"Salah ad Din"
"k18146","10 Dec 2011","12 Dec 2011",1,1,NA
"k18147","12 Dec 2011","12 Dec 2011",2,2,"Nineveh"
"k18148","12 Dec 2011","12 Dec 2011",1,1,"Baghdad"
"k18149","12 Dec 2011","12 Dec 2011",1,1,"Baghdad"
"k18150","12 Dec 2011","12 Dec 2011",1,1,"Diyala"
"k18137","11 Dec 2011","11 Dec 2011",4,4,"Nineveh"
"k18138","11 Dec 2011","11 Dec 2011",2,2,"Baghdad"
"k18139","10 Dec 2011","11 Dec 2011",4,4,"Nineveh"
"k18140","11 Dec 2011","11 Dec 2011",2,2,"Salah ad Din"
"k18141","11 Dec 2011","11 Dec 2011",1,1,"Nineveh"
"k18142","11 Dec 2011","11 Dec 2011",1,1,"Nineveh"
"k18143","11 Dec 2011","11 Dec 2011",1,1,"Baghdad"
"k18144","11 Dec 2011","11 Dec 2011",1,1,"Nineveh"
"k18126","10 Dec 2011","10 Dec 2011",1,1,"Kirkuk"
"k18127","10 Dec 2011","10 Dec 2011",2,2,"Baghdad"
"k18128","10 Dec 2011","10 Dec 2011",1,1,NA
"k18129","10 Dec 2011","10 Dec 2011",1,1,"Nineveh"
"k18130","10 Dec 2011","10 Dec 2011",1,1,"Nineveh"
"k18131","10 Dec 2011","10 Dec 2011",1,1,"Babil"
"k18132","10 Dec 2011","10 Dec 2011",1,1,"Diyala"
"k18133","10 Dec 2011","10 Dec 2011",1,1,"Baghdad"
"k18134","10 Dec 2011","10 Dec 2011",1,1,"Kirkuk"
"k18135","10 Dec 2011","10 Dec 2011",1,1,"Baghdad"
"k18136","10 Dec 2011","10 Dec 2011",1,1,"Salah ad Din"
"k18123","9 Dec 2011","9 Dec 2011",1,1,"Baghdad"
"k18124","9 Dec 2011","9 Dec 2011",1,1,"Salah ad Din"
"k18125","9 Dec 2011","9 Dec 2011",1,1,"Baghdad"
"k18119","8 Dec 2011","8 Dec 2011",1,1,"Baghdad"
"k18120","8 Dec 2011","8 Dec 2011",2,2,"Diyala"
"k18121","8 Dec 2011","8 Dec 2011",1,1,"Diyala"
"k18122","8 Dec 2011","8 Dec 2011",1,1,"Baghdad"
"k18111","7 Dec 2011","7 Dec 2011",1,1,"Kirkuk"
"k18112","7 Dec 2011","7 Dec 2011",1,1,"Kirkuk"
"k18113","7 Dec 2011","7 Dec 2011",1,1,"Nineveh"
"k18114","7 Dec 2011","7 Dec 2011",1,1,"Nineveh"
"k18115","7 Dec 2011","7 Dec 2011",3,3,"Baghdad"
"k18116","7 Dec 2011","7 Dec 2011",1,1,"Anbar"
"k18117","7 Dec 2011","7 Dec 2011",1,1,"Kirkuk"
"k18118","7 Dec 2011","7 Dec 2011",1,1,NA
"k18106","6 Dec 2011","6 Dec 2011",1,1,"Diyala"
"k18107","6 Dec 2011","6 Dec 2011",1,1,"Anbar"
"k18108","6 Dec 2011","6 Dec 2011",1,1,"Anbar"
"k18109","6 Dec 2011","6 Dec 2011",1,1,"Kirkuk"
"k18110","6 Dec 2011","6 Dec 2011",1,1,"Diyala"
"k18096","5 Dec 2011","5 Dec 2011",2,2,"Nineveh"
"k18097","5 Dec 2011","5 Dec 2011",2,2,"Nineveh"
"k18098","5 Dec 2011","5 Dec 2011",1,1,"Salah ad Din"
"k18099","5 Dec 2011","5 Dec 2011",1,1,"Nineveh"
"k18101","5 Dec 2011","5 Dec 2011",1,2,"Baghdad"
"k18102","5 Dec 2011","5 Dec 2011",8,8,"Baghdad"
"k18103","5 Dec 2011","5 Dec 2011",3,3,"Baghdad"
"k18104","5 Dec 2011","5 Dec 2011",3,4,"Babil"
